lesson_history_id,pupilId,topicId,age,exerciseId,marked,stackDepth,outcome,timeTaken,leson_type
75863081,926676,AA,675,100,"2015-09-10 16:12:20",1,p,00:01:55,tutor_ex
75863178,926676,AA,675,100,"2015-09-10 16:14:39",1,p,00:01:34,tutor_pb
75863310,926676,QA,500,100,"2015-09-10 16:17:30",1,p,00:02:07,tutor_ex
75863357,926676,QA,500,100,"2015-09-10 16:18:30",1,p,00:00:39,tutor_pb
75863635,926676,RA,600,100,"2015-09-10 16:23:26",1,p,00:02:06,tutor_ex
75863745,926676,RA,600,100,"2015-09-10 16:25:09",1,p,00:01:16,tutor_pb
75864075,926676,QA,500,200,"2015-09-10 16:30:16",1,p,00:04:15,tutor_ex
75864140,926676,QA,500,200,"2015-09-10 16:31:17",1,p,00:00:38,tutor_pb
75864789,926676,RA,600,200,"2015-09-10 16:43:13",1,s,00:05:04,tutor_ex
75895207,924529,AA,1000,100,"2015-09-11 08:24:23",1,p,00:02:13,tutor_ex
75895422,924529,AA,1000,100,"2015-09-11 08:26:25",1,p,00:00:57,tutor_pb
75895707,924529,CA,750,100,"2015-09-11 08:29:11",1,p,00:02:01,tutor_ex
75895894,924529,CA,750,100,"2015-09-11 08:31:00",1,p,00:01:11,tutor_pb
75896278,924529,RA,825,100,"2015-09-11 08:34:23",1,p,00:02:45,tutor_ex
75896801,924529,RA,825,100,"2015-09-11 08:39:00",1,p,00:04:06,tutor_pb
75927324,924529,CA,775,100,"2015-09-11 17:27:44",1,p,00:02:44,tutor_ex
75927390,924529,CA,775,100,"2015-09-11 17:29:25",1,p,00:00:52,tutor_pb
75928034,924529,RA,825,200,"2015-09-11 17:41:49",1,p,00:11:27,tutor_ex
75928131,924529,RA,825,200,"2015-09-11 17:43:38",1,p,00:01:24,tutor_pb
75928355,924529,CA,800,100,"2015-09-11 17:47:58",1,s,00:03:28,tutor_ex
75929512,924529,FA,825,100,"2015-09-11 18:07:57",1,s,00:19:06,tutor_ex
75929741,924529,CA,800,100,"2015-09-11 18:12:07",1,s,00:03:11,tutor_ex
75929993,924529,RA,825,300,"2015-09-11 18:16:31",1,p,00:02:21,tutor_ex
75930096,924529,RA,825,300,"2015-09-11 18:18:03",1,p,00:01:05,tutor_pb
75931233,924529,CA,800,100,"2015-09-11 18:39:08",1,s,00:04:17,tutor_ex
75954030,924529,QA,850,100,"2015-09-12 15:02:16",1,s,00:05:46,tutor_ex
75954123,924529,CA,800,100,"2015-09-12 15:06:51",1,s,00:03:56,tutor_ex
75954369,924529,PA,825,100,"2015-09-12 15:21:56",1,p,00:13:57,tutor_ex
75954388,924529,PA,825,100,"2015-09-12 15:22:51",1,s,00:00:32,tutor_pb
75954472,924529,CA,800,100,"2015-09-12 15:27:32",1,s,00:03:05,tutor_ex
75954573,924529,NA,825,100,"2015-09-12 15:34:54",1,p,00:06:50,tutor_ex
75954643,924529,NA,825,100,"2015-09-12 15:39:25",1,s,00:04:11,tutor_pb
75956995,926676,QA,500,300,"2015-09-12 18:21:45",1,p,00:02:57,tutor_ex
75957012,926676,QA,500,300,"2015-09-12 18:22:41",1,p,00:00:35,tutor_pb
75957134,926676,PA,600,100,"2015-09-12 18:32:01",1,p,00:07:09,tutor_ex
75957176,926676,PA,600,100,"2015-09-12 18:35:21",1,p,00:02:47,tutor_pb
75957234,926676,QA,525,100,"2015-09-12 18:39:13",1,p,00:03:04,tutor_ex
75957269,926676,QA,525,100,"2015-09-12 18:41:50",1,p,00:02:08,tutor_pb
75957377,926676,NA,600,100,"2015-09-12 18:54:16",1,p,00:10:31,tutor_ex
75957418,926676,NA,600,100,"2015-09-12 18:58:59",1,p,00:04:01,tutor_pb
75957476,926676,QA,550,100,"2015-09-12 19:03:38",1,p,00:03:22,tutor_ex
75957503,926676,QA,550,100,"2015-09-12 19:05:16",1,p,00:01:01,tutor_pb
75957581,926676,FA,625,100,"2015-09-12 19:11:07",1,p,00:04:54,tutor_ex
75957619,926676,FA,625,100,"2015-09-12 19:14:56",1,p,00:03:13,tutor_pb
75957711,926676,QA,550,200,"2015-09-12 19:23:09",1,p,00:05:47,tutor_ex
75957748,926676,QA,550,200,"2015-09-12 19:26:25",1,s,00:02:51,tutor_pb
76091978,926676,EA,600,100,"2015-09-15 17:39:19",1,p,00:02:05,tutor_ex
76092311,926676,EA,600,100,"2015-09-15 17:42:54",1,p,00:03:00,tutor_pb
76092750,926676,QA,550,200,"2015-09-15 17:47:58",1,p,00:03:42,tutor_ex
76093207,926676,BA,675,100,"2015-09-15 17:53:53",1,p,00:04:14,tutor_ex
76093934,926676,BA,675,100,"2015-09-15 18:02:32",1,p,00:02:03,tutor_pb
76094066,926676,QA,550,200,"2015-09-15 18:04:01",1,s,00:00:56,tutor_pb
76094714,926676,AA,675,200,"2015-09-15 18:11:53",1,p,00:06:31,tutor_ex
76094923,926676,AA,675,200,"2015-09-15 18:15:08",1,p,00:02:29,tutor_pb
76095397,926676,QA,550,200,"2015-09-15 18:21:32",1,p,00:04:41,tutor_ex
76095827,926676,RA,600,200,"2015-09-15 18:27:25",1,p,00:01:04,tutor_ex
76095975,926676,QA,550,200,"2015-09-15 18:29:14",1,p,00:01:33,tutor_pb
76096268,926676,PA,625,100,"2015-09-15 18:33:30",1,p,00:03:15,tutor_ex
76096698,926676,PA,625,100,"2015-09-15 18:39:27",1,p,00:05:15,tutor_pb
76096975,926676,QA,575,100,"2015-09-15 18:43:41",1,p,00:02:50,tutor_ex
76097137,926676,QA,575,100,"2015-09-15 18:46:28",1,p,00:02:24,tutor_pb
76097740,926676,NA,625,100,"2015-09-15 19:00:25",1,p,00:05:28,tutor_ex
76192806,924529,KA,825,100,"2015-09-17 08:36:47",1,p,00:07:31,tutor_ex
76193150,924529,KA,825,100,"2015-09-17 08:42:46",1,p,00:03:20,tutor_pb
76193497,924529,JA,825,100,"2015-09-17 08:47:19",1,f,00:02:17,tutor_ex
76194214,924529,JA,725,200,"2015-09-17 08:57:23",2,p,00:04:48,tutor_ex
76194477,924529,JA,825,100,"2015-09-17 09:01:17",1,f,00:02:05,tutor_ex
76231091,924529,HA,800,100,"2015-09-17 19:33:41",1,f,00:10:59,tutor_ex
76231698,924529,FA,775,400,"2015-09-17 19:43:21",2,s,00:09:11,tutor_ex
76249443,938935,AA,625,100,"2015-09-18 06:16:57",1,p,00:11:34,tutor_ex
76249507,938935,AA,625,100,"2015-09-18 06:18:30",1,p,00:01:14,tutor_pb
76254562,924529,CA,700,200,"2015-09-18 08:38:52",0,0,00:04:11,replay
76254804,924529,EA,800,100,"2015-09-18 08:42:12",0,0,00:01:21,replay
76255350,924529,FA,725,100,"2015-09-18 08:49:46",0,0,00:03:38,replay
76256074,924529,FA,775,100,"2015-09-18 08:59:29",0,0,00:08:31,replay
76286203,926676,NA,625,100,"2015-09-18 18:02:59",1,p,00:02:49,tutor_pb
76286491,926676,QA,575,200,"2015-09-18 18:08:11",1,p,00:04:12,tutor_ex
76286605,926676,QA,575,200,"2015-09-18 18:10:12",1,p,00:01:35,tutor_pb
76287260,926676,FA,625,200,"2015-09-18 18:21:06",1,p,00:08:29,tutor_ex
76287551,926676,FA,625,200,"2015-09-18 18:25:59",1,p,00:03:38,tutor_pb
76287822,926676,QA,575,300,"2015-09-18 18:30:48",1,p,00:03:46,tutor_ex
76386877,926676,QA,575,300,"2015-09-21 17:16:58",1,p,00:01:19,tutor_pb
76387430,926676,EA,600,200,"2015-09-21 17:22:33",1,p,00:02:21,tutor_ex
76387613,926676,EA,600,200,"2015-09-21 17:24:39",1,p,00:01:37,tutor_pb
76388057,926676,QA,600,100,"2015-09-21 17:29:22",1,p,00:03:33,tutor_ex
76388258,926676,QA,600,100,"2015-09-21 17:31:47",1,s,00:02:00,tutor_pb
76389141,926676,BA,675,200,"2015-09-21 17:42:37",1,p,00:09:26,tutor_ex
76389982,926676,BA,675,200,"2015-09-21 17:52:03",1,p,00:03:27,tutor_pb
76390873,926676,QA,600,100,"2015-09-21 18:01:50",1,p,00:04:24,tutor_ex
76391930,926676,AA,675,300,"2015-09-21 18:13:27",1,p,00:09:48,tutor_ex
76394105,926676,AA,675,300,"2015-09-21 18:38:25",1,p,00:04:31,tutor_pb
76394202,926676,QA,600,100,"2015-09-21 18:39:34",1,p,00:00:51,tutor_pb
76394332,926676,RA,600,200,"2015-09-21 18:41:07",1,p,00:01:05,tutor_pb
76460559,924529,GA,800,100,"2015-09-22 18:31:06",1,f,00:09:48,tutor_ex
76462306,924529,FA,775,100,"2015-09-22 18:53:03",2,p,00:19:01,tutor_ex
76486490,937448,AA,1025,100,"2015-09-23 06:00:56",1,p,00:01:21,tutor_ex
76486533,937448,AA,1025,100,"2015-09-23 06:02:45",1,p,00:01:19,tutor_pb
76487278,926676,QA,600,200,"2015-09-23 06:27:25",1,p,00:04:23,tutor_ex
76487322,937448,KA,1075,100,"2015-09-23 06:28:31",1,p,00:03:42,tutor_ex
76487363,926676,QA,600,200,"2015-09-23 06:29:31",1,p,00:01:22,tutor_pb
